"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"109113","NC_035783.1",21076507,21076507,"+",2.04486851415864e-69,2.24070211514402e-66,50.8247663188018
"109149","NC_035783.1",21109546,21109546,"+",2.52098149505466e-45,7.05365164995628e-43,53.6792859194027
"109814","NC_035783.1",23674226,23674226,"+",5.01772715783896e-33,5.91860935815994e-31,53.0569948186528
"109950","NC_035783.1",23889432,23889432,"+",5.46770492484042e-166,2.13796817237544e-161,-50.4597375625413
"110734","NC_035783.1",25301968,25301968,"+",1.32548899088264e-32,1.50884820384428e-30,-57.3900772430184
"110771","NC_035783.1",25307879,25307879,"+",1.33664330643121e-66,1.28257887194809e-63,-78.1472684085511
"110772","NC_035783.1",25307895,25307895,"+",7.89208527424e-65,7.0135073964206e-62,-50.6085359424513
"111837","NC_035783.1",30742308,30742308,"+",2.21430550807129e-31,2.30734749656352e-29,51.0853634383046
"112229","NC_035783.1",32082627,32082627,"+",2.49961258695321e-37,4.08950711965461e-35,-53.3606366157754
"112273","NC_035783.1",32197765,32197765,"+",2.26859789557106e-17,6.64092397786736e-16,55.0700280112045
"112346","NC_035783.1",32417239,32417239,"+",1.95956692671401e-61,1.51727705204433e-58,-60.3549839228296
"115016","NC_035783.1",36586660,36586660,"+",1.23298937381216e-16,3.34747711396286e-15,52.2710622710623
"115398","NC_035783.1",37764810,37764810,"+",3.88463311891409e-22,1.83615525231574e-20,50.3071826047798
"115739","NC_035783.1",42295608,42295608,"+",4.76581018096705e-58,2.87801553990355e-55,-57.5085190691983
"116693","NC_035783.1",45068803,45068803,"+",4.04402880429213e-47,1.29084565784519e-44,52.6878483618496
"117116","NC_035783.1",45436571,45436571,"+",1.19641798097551e-76,1.92915603160213e-73,51.4633072086115
"118091","NC_035783.1",46125339,46125339,"+",3.66798461849292e-50,1.41305032801545e-47,62.1033447684391
"118539","NC_035783.1",47273230,47273230,"+",5.17200654480188e-61,3.87051662875761e-58,56.7901322236582
"119422","NC_035783.1",48434287,48434287,"+",3.55123914593024e-41,7.4655729197098e-39,-53.4230944774076
"123649","NC_035783.1",58186424,58186424,"+",1.6216428830161e-39,3.03030205524097e-37,59.308110609742
"123712","NC_035783.1",58980061,58980061,"+",9.40805780903209e-43,2.21609337756988e-40,-65.2450980392157
"124051","NC_035784.1",1005578,1005578,"+",1.29724579443487e-72,1.66310090054658e-69,52.6485595727361
"124209","NC_035784.1",1046256,1046256,"+",5.96514653072971e-56,3.13084098381825e-53,-53.9241001564945
"124937","NC_035784.1",1992224,1992224,"+",6.60703470395079e-33,7.75233616056346e-31,59.3331663466088
"125125","NC_035784.1",2011998,2011998,"+",1.8451944815712e-59,1.25478832452513e-56,-62.490353737771
"125425","NC_035784.1",2288951,2288951,"+",2.80079808290736e-48,9.75644537778179e-46,-55.4547777210015
"125427","NC_035784.1",2288963,2288963,"+",3.39764239561727e-55,1.70872996736878e-52,-50.7692307692308
"125568","NC_035784.1",2333164,2333164,"+",7.37020702059658e-30,6.73336387280325e-28,58.0361278369616
"125596","NC_035784.1",2338124,2338124,"+",1.61386857502133e-20,6.48728671065689e-19,-51.6951171099643
"125614","NC_035784.1",2340024,2340024,"+",1.5659973466667e-61,1.2185717969251e-58,-55.6345952897677
"125680","NC_035784.1",2348439,2348439,"+",7.07302653683411e-71,8.08052074125177e-68,-51.3685843298704
"125858","NC_035784.1",2443680,2443680,"+",6.24413079630811e-41,1.29525955223626e-38,-58.7961844964984
"126076","NC_035784.1",2777423,2777423,"+",3.144837425768e-71,3.75476759913025e-68,-58.6031071570841
"126356","NC_035784.1",3214006,3214006,"+",7.09236292590458e-81,1.38661892063991e-77,50.7309785032557
"127020","NC_035784.1",3912436,3912436,"+",8.05783373848893e-76,1.20028716204151e-72,-52.4629834000092
"127792","NC_035784.1",7656221,7656221,"+",1.55947836930193e-37,2.57564221283105e-35,53.4626616604088
"129702","NC_035784.1",10016145,10016145,"+",2.56931841719217e-38,4.49004871201191e-36,-56.6869918699187
"132840","NC_035784.1",17445156,17445156,"+",1.50431580755429e-24,8.86531677908949e-23,-50.5512982183852
"133753","NC_035784.1",21869175,21869175,"+",3.48905889912423e-17,1.00388741720439e-15,50.7123513481691
"134728","NC_035784.1",27176372,27176372,"+",2.0859020967755e-61,1.60714122256477e-58,-58.5704497096902
"136004","NC_035784.1",32778720,32778720,"+",1.26761750764177e-34,1.68020541282635e-32,51.5584132519616
"136179","NC_035784.1",34072924,34072924,"+",2.93885330961182e-33,3.5195803974814e-31,55.9609730018712
"137559","NC_035784.1",36797030,36797030,"+",3.4127696903626e-58,2.08508216596923e-55,-56.4378819749242
"137836","NC_035784.1",36957812,36957812,"+",3.3563161889125e-40,6.57010403325476e-38,50.2112834766931
"139190","NC_035784.1",38226016,38226016,"+",4.75490013148437e-41,9.94250824646769e-39,54.8535946223083
"141100","NC_035784.1",42036909,42036909,"+",9.34994194080112e-81,1.80542749961855e-77,56.1362814796964
"141485","NC_035784.1",43356401,43356401,"+",4.34821916450111e-46,1.29295032498236e-43,-51.8474784747848
"143715","NC_035784.1",45667413,45667413,"+",6.25911147424156e-22,2.90667691546423e-20,58.1845780206436
"144051","NC_035784.1",45928234,45928234,"+",3.478442061211e-88,9.71522593450093e-85,57.5545124470923
"145294","NC_035784.1",47479565,47479565,"+",1.33309633120541e-24,7.89494829266285e-23,-51.5949367088608
"146541","NC_035784.1",50083564,50083564,"+",1.27546553898932e-22,6.31502771994977e-21,-51.7371762859385
"147161","NC_035784.1",50724128,50724128,"+",1.03080796977475e-19,3.83505165833393e-18,52.2819785370667
"147949","NC_035784.1",52291764,52291764,"+",1.44895699873396e-244,2.26627002665054e-239,59.5065696306969
"148015","NC_035784.1",52581120,52581120,"+",5.58105789710705e-75,8.00840794622478e-72,-52.939623305756
"148027","NC_035784.1",52581363,52581363,"+",5.80866091343417e-97,2.2712879220354e-93,-72.9622680842193
"149794","NC_035784.1",53282858,53282858,"+",5.63587518391271e-76,8.49909220178291e-73,53.8815316395014
"150360","NC_035784.1",53515950,53515950,"+",4.93279479018329e-15,1.12009811980544e-13,50.5649717514124
"150921","NC_035784.1",53991052,53991052,"+",2.42373702540578e-20,9.57054815578014e-19,-51.7628790646693
"150962","NC_035784.1",53995724,53995724,"+",3.33217976108153e-28,2.66996007291546e-26,-55.8517390200558
"151114","NC_035784.1",54028109,54028109,"+",5.45019581079004e-57,3.00158000396393e-54,50.2696991968082
"151542","NC_035784.1",54629072,54629072,"+",1.19734838596894e-29,1.07320147226255e-27,50.4229390681004
"151582","NC_035784.1",54639923,54639923,"+",1.04439539660021e-65,9.66572427494684e-63,-51.9264511476986
"151907","NC_035784.1",54998519,54998519,"+",3.18965301900275e-38,5.51253069087786e-36,-51.33892392798
"152216","NC_035784.1",55154350,55154350,"+",1.54406804595354e-49,5.70929161387256e-47,-51.094362605154
"152217","NC_035784.1",55154408,55154408,"+",1.76503216275552e-52,7.71126725283509e-50,-55.4262142015276
"152904","NC_035784.1",57133704,57133704,"+",6.11314456847816e-40,1.18041795157164e-37,57.7891905111274
"153415","NC_035784.1",57514693,57514693,"+",2.27612571825225e-36,3.43299876782557e-34,54.4573643410853
"153590","NC_035784.1",57785890,57785890,"+",3.78074008543557e-56,1.99102416280616e-53,-50.3389447008779
"154698","NC_035784.1",59002732,59002732,"+",4.10740438362752e-24,2.33609729433126e-22,52.1819996370895
"154745","NC_035784.1",59129087,59129087,"+",3.64131944752708e-83,8.02151850772346e-80,70.0784034212402
"155008","NC_035784.1",59399094,59399094,"+",2.25673998011388e-29,1.9796405343484e-27,51.4222786322234
"155218","NC_035784.1",59679679,59679679,"+",1.10621814663072e-61,8.69448494905278e-59,61.6812578166875
"156148","NC_035784.1",60464772,60464772,"+",2.07950122995767e-53,9.4548990659572e-51,60.2624363493929
"156156","NC_035784.1",60466859,60466859,"+",3.56107029004621e-33,4.23878451206128e-31,53.6123324105737
"156645","NC_035784.1",61208184,61208184,"+",1.81099694446042e-35,2.55412606672067e-33,50.6076555023923
"162651","NC_035784.1",67943442,67943442,"+",3.25735740964441e-35,4.48875301733616e-33,-58.2278481012658
"162705","NC_035784.1",67991199,67991199,"+",5.34358630545051e-147,9.28638054778868e-143,62.313587368154
"163089","NC_035784.1",68855035,68855035,"+",9.82742533989093e-84,2.22764929836145e-80,-53.4400888293055
"163878","NC_035784.1",70891966,70891966,"+",5.28454678630899e-36,7.7318994932364e-34,-50.2528938524729
"167396","NC_035784.1",79434839,79434839,"+",3.19422918270916e-52,1.36502669812856e-49,-50.6614933072442
"167834","NC_035784.1",79841167,79841167,"+",5.63990812562758e-51,2.25606407477306e-48,51.3280145815151
"167837","NC_035784.1",79841227,79841227,"+",5.96454817893008e-101,2.82696068719381e-97,-54.9254843517139
"170029","NC_035784.1",84939270,84939270,"+",1.01825282117858e-47,3.42498620896123e-45,52.3394914405256
"170038","NC_035784.1",84951458,84951458,"+",1.08122745135183e-28,9.00487385847163e-27,-53.2451923076923
"171895","NC_035784.1",87733520,87733520,"+",1.14262361872987e-104,6.16256278596656e-101,-58.4938474916697
"171914","NC_035784.1",87735301,87735301,"+",1.51315370158068e-62,1.23909851161649e-59,55.2893518518519
"172372","NC_035784.1",88794180,88794180,"+",4.19543955713729e-60,2.99988150244063e-57,-64.7171121138494
"173215","NC_035784.1",90909623,90909623,"+",2.16350803082117e-75,3.19233753512293e-72,-65.992154273091
"173286","NC_035784.1",90916598,90916598,"+",4.34075037492234e-88,1.19109421060442e-84,50.1219208432203
"175716","NC_035784.1",96023006,96023006,"+",3.40243679073233e-59,2.25493600322045e-56,-56.6227865390914
"175721","NC_035784.1",96023083,96023083,"+",4.60974168195664e-103,2.32579296995725e-99,67.1469059990553
"175822","NC_035784.1",96107107,96107107,"+",3.70492710692203e-47,1.18745183727223e-44,53.5949113779302
"176516","NC_035784.1",96594026,96594026,"+",5.8797786481925e-46,1.73137467347178e-43,-59.0243094596832
"177733","NC_035785.1",4744968,4744968,"+",3.50446888308225e-38,6.03660164314506e-36,63.5659974837263
"178553","NC_035785.1",12703932,12703932,"+",6.83755387204179e-32,7.3856437803746e-30,59.4470046082949
"179851","NC_035785.1",17356835,17356835,"+",9.26861406008511e-40,1.7678975922846e-37,58.0337389380531
"180325","NC_035785.1",29830588,29830588,"+",2.81967693791734e-42,6.42882190010573e-40,54.4203235944593
"180471","NC_035785.1",31237990,31237990,"+",1.15956490732013e-88,3.29752830448079e-85,55.0523842487819
"181444","NC_035785.1",32529156,32529156,"+",4.75061869598616e-24,2.68921451464735e-22,-53.190093488601
"181514","NC_035785.1",32647478,32647478,"+",2.03200500851818e-46,6.14738465845261e-44,-50.7687996917796
"181871","NC_035785.1",33207618,33207618,"+",9.75452024171119e-48,3.2880929933509e-45,51.3123359580052
"183097","NC_035785.1",35764247,35764247,"+",6.07211691899004e-32,6.60446126296219e-30,51.6405214317278
"183152","NC_035785.1",35798192,35798192,"+",4.78794504515966e-58,2.88026181659695e-55,-54.8789257512688
"186596","NC_035785.1",43783768,43783768,"+",2.04575339441277e-68,2.10506664799831e-65,55.6698564593301
"190015","NC_035786.1",14799932,14799932,"+",1.14018534635726e-72,1.47382609876592e-69,-64.0749414519906
"191647","NC_035786.1",33817806,33817806,"+",3.83947429095481e-34,4.88625400034827e-32,55.107230874102
"191828","NC_035786.1",34083839,34083839,"+",3.79744609828359e-22,1.79657324118633e-20,-59.2037890424987
"192257","NC_035786.1",34346036,34346036,"+",6.24159822305895e-92,1.95245918045507e-88,58.0751664228783
"192300","NC_035786.1",34361446,34361446,"+",2.12975567659958e-110,1.28118720998934e-106,70.4102167182663
"192383","NC_035786.1",34368875,34368875,"+",6.14422824387004e-57,3.37193068377569e-54,-51.9849035504613
"192403","NC_035786.1",34372005,34372005,"+",1.81151067439704e-81,3.67964846431598e-78,50.3948511411198
"193120","NC_035786.1",38653052,38653052,"+",7.20984793586592e-37,1.14252341770845e-34,55.1528391242645
"193971","NC_035786.1",41487043,41487043,"+",3.90849069795152e-37,6.30221922798765e-35,57.9741379310345
"193994","NC_035786.1",41491820,41491820,"+",3.90729155406647e-21,1.67615938186858e-19,50.2347417840376
"194308","NC_035786.1",42411777,42411777,"+",4.64475320077653e-43,1.11764902608793e-40,-64.324942791762
"194408","NC_035786.1",42447009,42447009,"+",3.21093745103633e-59,2.1370768573214e-56,-63.3907456159922
"195833","NC_035786.1",43694651,43694651,"+",6.27520727420041e-19,2.16855121685801e-17,52.4157660521297
"199455","NC_035786.1",56639173,56639173,"+",2.09247905259346e-98,9.09106527896761e-95,55.5327510222265
"199462","NC_035786.1",56639478,56639478,"+",1.4154566080495e-25,9.10684111055766e-24,50.2649930264993
"199536","NC_035786.1",56659289,56659289,"+",2.83757740636287e-38,4.94779198143367e-36,50.1822121540431
"199813","NC_035786.1",57121447,57121447,"+",4.01023297026317e-27,2.92823747746289e-25,59.7982216142271
"200712","NC_035787.1",7167896,7167896,"+",7.11326027389312e-88,1.91821315139257e-84,54.552780016116
"201756","NC_035787.1",14736344,14736344,"+",6.10942556863873e-85,1.49305759875423e-81,57.6814658210007
"202094","NC_035787.1",18018537,18018537,"+",1.95115727814226e-54,9.50699802784231e-52,52.1372989072299
"202250","NC_035787.1",19062110,19062110,"+",9.09654522133365e-38,1.52657001775627e-35,-52.8498395605591
"202535","NC_035787.1",23056763,23056763,"+",1.78958396176658e-53,8.20831204197716e-51,-56.5477542982655
