geneProduct	methDiff	transcriptVariants
uncharacterized LOC111134159	57	2
uncharacterized LOC111135118	64	2
uncharacterized LOC111136461	53	3
uncharacterized LOC111137459	53	1
vacuolar protein sorting-associated protein 11 homolog	59	1
vacuolar protein sorting-associated protein 13B-like	58	1
voltage-dependent calcium channel type A subunit alpha-1-like	-51	1
VPS9 domain-containing protein 1-like	52	1
WD repeat-containing protein 1-B-like	58	2
WD repeat-containing protein 38-like	-53	1
zinc finger protein 26-like	65	9
zygotic DNA replication licensing factor mcm3-like	-61	1
zygotic DNA replication licensing factor mcm3-like	-53	1
