geneProduct	methDiff	transcriptVariants
breast cancer type 1 susceptibility protein homolog	-81	2
breast cancer type 1 susceptibility protein homolog	-74	2
breast carcinoma-amplified sequence 3-like	50	1
bromodomain adjacent to zinc finger domain protein 1A-like	52	2
bromodomain and WD repeat-containing protein 3-like	-51	2
BTB/POZ domain-containing protein KCTD7-like	-51	1
BTB/POZ domain-containing protein KCTD7-like	-50	1
CAD protein-like	-55	5
cadherin EGF LAG seven-pass G-type receptor 1-like	62	1
calcium uptake protein 3 2C mitochondrial-like	-60	4
calmodulin-lysine N-methyltransferase-like	-77	3
calmodulin-lysine N-methyltransferase-like	56	3
calmodulin-lysine N-methyltransferase-like	66	3
calmodulin-regulated spectrin-associated protein 1-like	-60	1
calmodulin-regulated spectrin-associated protein 1-like	-56	2
calmodulin-regulated spectrin-associated protein 1-like	-53	1
calmodulin-regulated spectrin-associated protein 1-like	54	1
calpain-15-like	66	1
cAMP-dependent protein kinase type II regulatory subunit-like	-51	8
cAMP-dependent protein kinase type II regulatory subunit-like	57	5
CAP-Gly domain-containing linker protein 1-like	-66	6
carbohydrate sulfotransferase 11-like	-55	6
carbohydrate sulfotransferase 11-like	51	6
carnosine N-methyltransferase-like	56	1
casein kinase I-like	-51	2
casein kinase I-like	56	1
casein kinase II subunit alpha-like	53	2
caspase recruitment domain-containing protein 11-like	60	7
cell cycle checkpoint protein RAD17-like	50	1
cell division control protein 45 homolog	-56	1
cell division control protein 45 homolog	67	1
cell division control protein 45 homolog	75	1
cell division cycle-associated protein 3-like	-53	1
centrosomal protein of 112 kDa-like	50	1
centrosomal protein of 131 kDa-like	-67	1
centrosomal protein of 131 kDa-like	-64	1
centrosomal protein of 41 kDa-like	58	3
centrosomal protein of 78 kDa-like	-63	1
centrosomal protein of 78 kDa-like	-52	1
centrosomal protein of 78 kDa-like	52	1
centrosomal protein of 78 kDa-like	53	1
centrosomal protein of 78 kDa-like	53	1
centrosome-associated protein CEP250-like	50	9
ceramide-1-phosphate transfer protein-like	-55	1
chaperone protein DnaJ-like	52	2
charged multivesicular body protein 3-like	52	1
charged multivesicular body protein 3-like	57	1
chromodomain-helicase-DNA-binding protein 1-like	-51	1
chromodomain-helicase-DNA-binding protein Mi-2 homolog	52	1
cilia- and flagella-associated protein 54-like	-71	5
cilia- and flagella-associated protein 54-like	56	5
cilia- and flagella-associated protein 54-like	57	5
cilia- and flagella-associated protein 69-like	54	1
cingulin-like protein 1	53	1
circularly permutated Ras protein 1-like	-60	1
circularly permutated Ras protein 1-like	-52	1
circularly permutated Ras protein 1-like	-50	1
citrate lyase subunit beta-like protein 2C mitochondrial	64	2
clathrin light chain B-like	53	2
cleavage and polyadenylation specificity factor subunit 5-like	65	1
CLIP-associating protein 1-like	-66	1
coiled-coil domain-containing protein 180-like	51	12
coiled-coil domain-containing protein 39-like	52	2
coiled-coil domain-containing protein 39-like	80	2
cold shock domain-containing protein E1-like	63	1
colorectal mutant cancer protein-like	-50	1
complement C1q tumor necrosis factor-related protein 3-like	59	1
condensin complex subunit 1-like	57	3
condensin complex subunit 1-like	62	3
condensin complex subunit 1-like	75	3
COP9 signalosome complex subunit 2	56	1
copine-3-like	51	1
copper transporter 2-like	-55	1
cortactin-binding protein 2-like	-64	2
cortactin-binding protein 2-like	-58	2
cullin-3-B-like	-56	1
cullin-3-B-like	60	1
CWF19-like protein 2	-51	1
CWF19-like protein 2	-50	1
cyclic AMP-responsive element-binding protein 3-like protein 3-B	59	2
cyclic nucleotide-gated cation channel beta-1-like	55	3
cyclin-dependent kinase 14-like	50	1
cyclin-dependent kinase-like 4	-59	12
cyclin-dependent kinase-like 4	54	12
cystathionine beta-synthase-like	52	1
cystathionine gamma-lyase-like	51	1
cystathionine gamma-lyase-like	58	1
cysteine and histidine-rich domain-containing protein 1-like	-53	1
cysteine desulfurase 2C mitochondrial-like	-56	1
cysteine--tRNA ligase 2C cytoplasmic-like	51	4
cysteine-rich motor neuron 1 protein-like	51	1
cytoplasmic dynein 1 heavy chain 1-like	-72	7
cytoplasmic dynein 1 heavy chain 1-like	-57	7
cytoplasmic dynein 2 heavy chain 1-like	54	5
cytosolic 10-formyltetrahydrofolate dehydrogenase-like	63	2
cytosolic carboxypeptidase 1-like	63	1
cytosolic carboxypeptidase 1-like	73	1
cytosolic carboxypeptidase 2-like	50	36
cytosolic phospholipase A2-like	-62	6
DCC-interacting protein 13-alpha-like	52	9
DDB1- and CUL4-associated factor 1-like	51	2
DDB1- and CUL4-associated factor 1-like	53	2
dehydrogenase/reductase SDR family member 4-like	75	1
deleted in lung and esophageal cancer protein 1-like	-53	3
deleted in lung and esophageal cancer protein 1-like	-52	3
deleted in lung and esophageal cancer protein 1-like	52	1
DENN domain-containing protein 1B-like	53	1
deoxycytidylate deaminase-like	-52	1
deoxyribodipyrimidine photo-lyase-like	-52	1
dihydrolipoyl dehydrogenase 2C mitochondrial-like	-55	1
dihydrolipoyl dehydrogenase 2C mitochondrial-like	-50	1
disintegrin and metalloproteinase domain-containing protein 12-like	-59	4
disintegrin and metalloproteinase domain-containing protein 12-like	50	4
disintegrin and metalloproteinase domain-containing protein unc-71-like	51	4
disintegrin and metalloproteinase domain-containing protein unc-71-like	52	4
disintegrin and metalloproteinase domain-containing protein unc-71-like	56	4
disintegrin and metalloproteinase domain-containing protein unc-71-like	63	4
disks large homolog 1-like	52	4
disks large homolog 5-like	52	4
dmX-like protein 2	-62	12
dmX-like protein 2	-53	12
dmX-like protein 2	-52	12
DNA annealing helicase and endonuclease ZRANB3-like	51	1
DNA damage-binding protein 1-like	52	1
DNA excision repair protein ERCC-6-like	-50	1
DNA excision repair protein ERCC-6-like	62	5
DNA ligase 1-like	51	5
DNA ligase 1-like	53	5
DNA polymerase theta-like	-55	1
DNA polymerase theta-like	-54	1
DNA repair and recombination protein RAD54B-like	-64	2
DNA replication licensing factor mcm2-like	50	1
DNA replication licensing factor mcm5-like	50	1
DNA replication licensing factor mcm5-like	53	1
DNA topoisomerase 2-binding protein 1-like	-54	2
DNA topoisomerase 2-binding protein 1-like	51	2
DNA topoisomerase 2-binding protein 1-like	54	2
DNA topoisomerase I 2C mitochondrial-like	-59	1
DNA topoisomerase I 2C mitochondrial-like	-52	1
dnaJ homolog subfamily C member 1-like	-51	1
dnaJ-like protein MG002 homolog	54	4
double-stranded RNA-specific editase 1-like	53	6
drebrin-like protein B	-53	4
dual specificity protein kinase Ttk-like	52	1
dynactin subunit 1-like	53	18
dynactin subunit 1-like	61	18
dynein assembly factor 4 2C axonemal-like	51	1
dynein assembly factor 4 2C axonemal-like	53	1
dynein assembly factor 5 2C axonemal-like	-50	1
dynein assembly factor 5 2C axonemal-like	53	1
dynein assembly factor 5 2C axonemal-like	58	1
dynein assembly factor 5 2C axonemal-like	63	1
dynein assembly factor 5 2C axonemal-like	64	1
dynein assembly factor with WDR repeat domains 1-like	-62	2
dynein gamma chain 2C flagellar outer arm-like	63	1
dynein heavy chain 1 2C axonemal-like	-58	8
dynein heavy chain 1 2C axonemal-like	-52	8
dynein heavy chain 1 2C axonemal-like	-50	8
dynein heavy chain 1 2C axonemal-like	50	8
dynein heavy chain 1 2C axonemal-like	55	8
dynein heavy chain 1 2C axonemal-like	58	8
dynein heavy chain 1 2C axonemal-like	71	8
dynein heavy chain 12 2C axonemal-like	-71	7
dynein heavy chain 12 2C axonemal-like	-63	16
dynein heavy chain 5 2C axonemal-like	54	2
dynein heavy chain 6	53	4
dynein heavy chain 8 2C axonemal-like	-72	1
dynein heavy chain 8 2C axonemal-like	-54	1
dynein heavy chain 8 2C axonemal-like	-52	1
dystrobrevin beta-like	-61	1
dystrophin-like	50	1
E3 SUMO-protein ligase RanBP2-like	50	1
E3 ubiquitin-protein ligase Hakai-like	56	3
E3 ubiquitin-protein ligase HERC2-like	67	4
E3 ubiquitin-protein ligase HERC2-like	73	4
E3 ubiquitin-protein ligase HERC2-like	74	4
E3 ubiquitin-protein ligase HUWE1-like	-51	6
E3 ubiquitin-protein ligase Midline-1-like	61	1
E3 ubiquitin-protein ligase PDZRN3-like	50	1
E3 ubiquitin-protein ligase PDZRN3-like	55	1
E3 ubiquitin-protein ligase rnf213-alpha-like	51	3
E3 ubiquitin-protein ligase rnf213-alpha-like	56	4
E3 ubiquitin-protein ligase SHPRH-like	55	1
E3 ubiquitin-protein ligase Topors-like	54	1
E3 ubiquitin-protein ligase TRIM71-like	-52	1
E3 ubiquitin-protein ligase ubr3-like	50	2
E3 ubiquitin-protein ligase UBR4-like	51	4
E3 ubiquitin-protein ligase UBR5-like	-54	2
E3 ubiquitin-protein ligase UBR5-like	52	2
E3 ubiquitin-protein ligase ZNRF3-like	-51	1
E3 ubiquitin-protein ligase ZSWIM2-like	-66	3
early endosome antigen 1-like	56	4
ecto-NOX disulfide-thiol exchanger 2-like	-53	2
ectonucleoside triphosphate diphosphohydrolase 4-like	-55	1
EF-hand calcium-binding domain-containing protein 12-like	-50	1
EF-hand calcium-binding domain-containing protein 14-like	54	2
EF-hand calcium-binding domain-containing protein 6-like	50	4
EF-hand calcium-binding domain-containing protein 6-like	51	4
EF-hand calcium-binding domain-containing protein 6-like	53	4
EF-hand calcium-binding domain-containing protein 6-like	56	4
eIF-2-alpha kinase activator GCN1-like	50	1
elongation factor 1-alpha	50	1
endonuclease 8-like 1	-65	1
endonuclease 8-like 3	51	2
endothelin-converting enzyme 1-like	-54	11
ER membrane protein complex subunit 1-like	57	2
ER membrane protein complex subunit 2-like	-52	1
ER membrane protein complex subunit 2-like	-50	1
eukaryotic elongation factor 2 kinase-like	-63	1
eukaryotic translation initiation factor 2 subunit 1-like	51	1
eukaryotic translation initiation factor 2 subunit 3-like	-59	1
eukaryotic translation initiation factor 3 subunit A-like	-50	2
eukaryotic translation initiation factor 3 subunit B-like	53	1
exosome complex component CSL4-like	-52	1
exportin-2-like	51	1
exportin-7-like	-60	2
exportin-7-like	-51	2
extended synaptotagmin-2-like	-53	8
F-box only protein 47-like	50	1
F-box/LRR-repeat protein 17-like	-52	4
F-box/LRR-repeat protein 5-like	-60	2
F-box/LRR-repeat protein 5-like	-56	2
F-box/LRR-repeat protein 6-like	-50	1
FACT complex subunit SPT16-like	55	1
Fanconi anemia group D2 protein-like	-51	1
fatty acid desaturase 6-like	-65	1
fatty acid synthase-like	55	1
fatty-acid amide hydrolase 2-like	-53	2
FERM domain-containing protein 4A-like	-57	7
FERM domain-containing protein 4A-like	-50	7
FERM domain-containing protein 4A-like	58	7
fibrillin-1-like	53	1
fibrinogen- and Ig-binding protein-like	-54	3
fibrocystin-L-like	50	3
fibrocystin-L-like	62	3
fibronectin type-III domain-containing protein 3A-like	-59	10
fibropellin-1-like	55	1
fibrous sheath-interacting protein 1-like	-54	1
filamin-A-like	-52	15
flap endonuclease 1-like	55	1
focadhesin-like	-60	1
focadhesin-like	-50	1
focadhesin-like	54	1
folliculin-interacting protein 1-like	59	1
formin-like protein CG32138	-58	1
fragile X mental retardation syndrome-related protein 1-like	-57	1
fragile X mental retardation syndrome-related protein 1-like	-50	1
fumarylacetoacetase-like	-50	1
G patch domain-containing protein 2-like	60	1
G-protein coupled receptor 98-like	-53	1
galactoside 2-alpha-L-fucosyltransferase 2-like	53	2
galactosylceramide sulfotransferase-like	57	1
galactosylceramide sulfotransferase-like	65	1
galectin-4-like	52	1
galectin-4-like	59	1
gamma-glutamyl hydrolase-like	59	3
gastrula zinc finger protein XlCGF57.1-like	50	9
gelsolin-like protein 2	50	5
gelsolin-like protein 2	54	5
general transcription factor 3C polypeptide 1-like	-53	1
geranylgeranyl pyrophosphate synthase-like	-61	3
glucose-fructose oxidoreductase domain-containing protein 2-like	-51	1
glycerol-3-phosphate dehydrogenase 2C mitochondrial-like	52	5
glycerophosphocholine phosphodiesterase GPCPD1-like	-52	1
glycine--tRNA ligase-like	50	1
glycogen [starch] synthase-like	50	2
glycosylphosphatidylinositol anchor attachment 1 protein-like	-61	1
glyoxalase 3-like	-62	1
glyoxylate reductase/hydroxypyruvate reductase-like	51	1
golgin subfamily A member 6-like protein 4	-52	2
GPI transamidase component PIG-T-like	-58	1
guanine nucleotide exchange factor DBS-like	-50	3
guanine nucleotide-binding protein G(q) subunit alpha-like	52	1
guanine nucleotide-binding protein G(q) subunit alpha-like	52	1
guanine nucleotide-binding protein subunit beta-2-like 1	51	1
guanine nucleotide-binding protein subunit beta-2-like 1	69	1
guanylate cyclase soluble subunit beta-2-like	52	1
H(+)/Cl(-) exchange transporter 7-like	62	1
HAUS augmin-like complex subunit 1	-64	1
HAUS augmin-like complex subunit 4	59	1
heat shock 70 kDa protein 12B-like	54	1
heat shock protein 70 B2-like	52	1
heat shock protein 75 kDa 2C mitochondrial-like	-56	1
heat shock protein 75 kDa 2C mitochondrial-like	-54	1
helicase ARIP4-like	52	1
hemicentin-1-like	-63	43
hemicentin-1-like	-63	43
hemicentin-1-like	-62	43
hemicentin-1-like	58	50
Hermansky-Pudlak syndrome 5 protein homolog	-52	1
histone acetyltransferase KAT6B-like	-68	1
histone deacetylase 6-like	-52	5
histone deacetylase 6-like	50	5
histone deacetylase 6-like	63	5
histone deacetylase 8-like	-62	1
histone-arginine methyltransferase CARMER-like	-66	2
histone-arginine methyltransferase CARMER-like	-60	2
histone-arginine methyltransferase CARMER-like	-51	2
Ig-like and fibronectin type-III domain-containing protein 2	-54	2
importin-11-like	54	1
influenza virus NS1A-binding protein-like	54	1
inhibitor of nuclear factor kappa-B kinase subunit alpha-like	-55	1
inhibitor of nuclear factor kappa-B kinase subunit epsilon-like	54	1
inositol 12C4 2C5-trisphosphate receptor type 1-like	-66	14
inositol 12C4 2C5-trisphosphate receptor type 1-like	-55	14
inositol 12C4 2C5-trisphosphate receptor type 1-like	-54	14
inositol 12C4 2C5-trisphosphate receptor type 1-like	-51	14
inositol 12C4 2C5-trisphosphate receptor type 1-like	63	14
inositol 12C4 2C5-trisphosphate receptor type 3-like	-53	8
inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2-like	54	10
inositol monophosphatase 1-like	56	2
insulin receptor substrate 1-B-like	-55	2
integrator complex subunit 4-like	52	2
integrin alpha-6-like	-50	2
intraflagellar transport protein 88 homolog	60	2
inversin-like	-51	7
IQ motif and SEC7 domain-containing protein 2-like	52	5
IQ motif and SEC7 domain-containing protein 2-like	54	2
kelch-like protein 12	-63	1
kelch-like protein 12	-58	1
kelch-like protein 12	-57	1
kelch-like protein 12	-56	1
kelch-like protein 2	54	1
kelch-like protein 2	61	1
kelch-like protein 24	51	2
kelch-like protein 24	54	2
kelch-like protein 24	55	1
kelch-like protein 3	-61	2
kelch-like protein 3	-57	2
kelch-like protein 3	-52	5
kelch-like protein 40	51	1
KICSTOR complex protein SZT2-like	-52	1
kinase suppressor of Ras 2-like	-53	5
kinesin-like protein KIF12	-63	13
kinesin-like protein KIF12	-53	14
kinesin-like protein KIF12	-51	14
kinesin-like protein KIF12	57	14
kinesin-like protein KIF13B	57	8
kinesin-like protein KIF21A	51	15
kinesin-like protein KIF6	51	1
kinesin-like protein unc-104	55	16
kynurenine formamidase-like	51	1
laminin subunit alpha-like	-52	1
laminin subunit beta-1-like	-53	1
lethal(2) giant larvae protein homolog 1-like	50	2
lethal(2) giant larvae protein homolog 1-like	67	2
lethal(3)malignant brain tumor-like protein 3	64	3
leucine-2C glutamate- and lysine-rich protein 1-like	-60	2
leucine-2C glutamate- and lysine-rich protein 1-like	54	2
leucine-rich repeat and coiled-coil domain-containing protein 1-like	54	1
leucine-rich repeat protein SHOC-2-like	-56	1
leucine-rich repeat serine/threonine-protein kinase 2-like	-74	4
leucine-rich repeat-containing protein 74A-like	54	3
leucine-rich repeats and immunoglobulin-like domains protein 2	-57	1
leucine-rich repeats and immunoglobulin-like domains protein 2	-56	1
leukocyte receptor cluster member 1-like	58	1
limbic system-associated membrane protein-like	-55	3
lisH domain-containing protein ARMC9-like	57	4
low affinity immunoglobulin epsilon Fc receptor-like	-64	1
low affinity immunoglobulin epsilon Fc receptor-like	-61	1
low-density lipoprotein receptor-related protein 1-like	-50	1
low-density lipoprotein receptor-related protein 2-like	50	1
low-density lipoprotein receptor-related protein 6-like	68	1
low-density lipoprotein receptor-related protein 6-like	73	1
lumican-like	-50	1
lymphocyte-specific helicase-like	51	1
lysine-specific demethylase 5A-like	53	4
macrophage mannose receptor 1-like	-56	2
macrophage mannose receptor 1-like	-50	2
macrophage mannose receptor 1-like	59	6
major antigen-like	-54	13
major antigen-like	-52	13
malate dehydrogenase 2C cytoplasmic-like	58	1
malignant fibrous histiocytoma-amplified sequence 1 homolog	51	1
MAM and LDL-receptor class A domain-containing protein 1-like	-50	2
MAM and LDL-receptor class A domain-containing protein 1-like	51	1
MAM and LDL-receptor class A domain-containing protein 1-like	59	1
MAP kinase kinase kinase win1-like	-61	1
maternal embryonic leucine zipper kinase-like	50	6
McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin-like	52	1
mediator of RNA polymerase II transcription subunit 12-like protein	51	4
mediator of RNA polymerase II transcription subunit 14-like	-52	3
mediator of RNA polymerase II transcription subunit 14-like	50	3
mediator of RNA polymerase II transcription subunit 15-like	50	1
mediator of RNA polymerase II transcription subunit 15-like	55	1
mediator of RNA polymerase II transcription subunit 22-like	58	1
mediator of RNA polymerase II transcription subunit 22-like	59	1
mediator of RNA polymerase II transcription subunit 7-like	52	3
meiosis regulator and mRNA stability factor 1-like	63	1
melanoma inhibitory activity protein 2-like	59	7
membrane-associated guanylate kinase 2C WW and PDZ domain-containing protein 1-like	-68	14
metallophosphoesterase 1 homolog	-61	1
metallophosphoesterase 1 homolog	-56	1
metallophosphoesterase MPPED2-like	59	3
metallophosphoesterase MPPED2-like	64	3
metallophosphoesterase MPPED2-like	73	3
microprocessor complex subunit DGCR8-like	56	2
microtubule-actin cross-linking factor 1 isoforms 1/2/3/5-like	-58	1
microtubule-actin cross-linking factor 1 isoforms 1/2/3/5-like	-51	1
microtubule-associated protein futsch-like	57	1
midasin-like	-55	1
midasin-like	-52	1
mitochondria-eating protein-like	-50	3
mitochondria-eating protein-like	51	3
mitochondrial fission regulator 2-like	-50	1
mitochondrial fission regulator 2-like	59	1
mitochondrial Rho GTPase 1-like	-72	4
mitochondrial Rho GTPase 1-like	-52	4
mitochondrial sodium/calcium exchanger protein-like	57	1
mitochondrial-processing peptidase subunit beta-like	-55	1
mitotic checkpoint serine/threonine-protein kinase BUB1-like	-54	1
mitotic checkpoint serine/threonine-protein kinase BUB1-like	74	1
molybdate-anion transporter-like	54	2
molybdate-anion transporter-like	55	2
MORC family CW-type zinc finger protein 3-like	55	2
MORN repeat-containing protein 1-like	53	11
mothers against decapentaplegic homolog 4-like	51	3
msx2-interacting protein-like	50	2
mucin-17-like	-62	7
mucin-17-like	55	7
mucin-17-like	59	7
mucin-17-like	63	7
mucin-17-like	65	7
mucin-2-like	-51	10
mucosa-associated lymphoid tissue lymphoma translocation protein 1-like	51	1
multidrug resistance-associated protein 4-like	53	2
multidrug resistance-associated protein 4-like	60	2
multiple epidermal growth factor-like domains protein 11	53	3
multiple epidermal growth factor-like domains protein 6	-50	1
multiple epidermal growth factor-like domains protein 8	57	2
muscle M-line assembly protein unc-89-like	-53	3
myelin regulatory factor-like	-58	10
myotubularin-related protein 10-A-like	62	1
myotubularin-related protein 6-like	50	1
myotubularin-related protein 6-like	51	1
N-acylethanolamine-hydrolyzing acid amidase-like	-66	1
N-acylethanolamine-hydrolyzing acid amidase-like	-59	1
N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase-like	58	2
NAD-dependent protein deacetylase sirtuin-1-like	56	1
NAD-dependent protein lipoamidase sirtuin-4 2C mitochondrial-like	-50	1
NAD(P)H-hydrate epimerase-like	61	1
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-like	64	1
NADH dehydrogenase [ubiquinone] flavoprotein 1 2C mitochondrial-like	52	1
NADH dehydrogenase [ubiquinone] flavoprotein 1 2C mitochondrial-like	61	1
natural resistance-associated macrophage protein 2-like	50	9
nesprin-1-like	60	12
neuralized-like protein 4	-50	2
neurexin-1-like	53	12
neurofilament heavy polypeptide-like	-59	3
neuroglian-like	-64	3
neuroglian-like	-53	4
neuroglian-like	-51	4
neuroglian-like	50	4
neuroguidin-like	-60	2
neuron navigator 3-like	-57	5
NF-kappa-B-activating protein-like	-61	3
nodal modulator 1-like	53	2
nuclear factor erythroid 2-related factor 2-like	59	2
nuclear hormone receptor HR96-like	63	1
nuclear pore complex protein Nup155-like	51	1
nuclear receptor coactivator 2-like	-50	8
nuclear receptor subfamily 5 group A member 2-like	54	4
nucleolar protein 6-like	52	2
nucleophosmin-like	50	1
nucleophosmin-like	51	1
nucleophosmin-like	57	1
nucleoplasmin-like protein ANO39	-54	2
nucleoplasmin-like protein ANO39	-54	2
oral-facial-digital syndrome 1 protein-like	52	2
organic cation transporter protein-like	53	2
ornithine decarboxylase antizyme 3-like	-70	1
OTU domain-containing protein 6B-like	50	2
OTU domain-containing protein 6B-like	62	2
oxidation resistance protein 1-like	53	3
oxygen-dependent coproporphyrinogen-III oxidase-like	-53	1
oxysterol-binding protein-related protein 11-like	53	1
oxysterol-binding protein-related protein 8-like	-58	4
oxysterol-binding protein-related protein 8-like	-55	4
oxysterol-binding protein-related protein 8-like	-50	5
PAB-dependent poly(A)-specific ribonuclease subunit PAN2-like	-50	1
PAB-dependent poly(A)-specific ribonuclease subunit PAN2-like	54	1
PAB-dependent poly(A)-specific ribonuclease subunit PAN2-like	63	1
pecanex-like protein 1	-55	1
peptidyl-glycine alpha-amidating monooxygenase-like	67	4
peptidyl-glycine alpha-amidating monooxygenase-like	74	4
peptidyl-prolyl cis-trans isomerase FKBP1A-like	63	1
peptidyl-prolyl cis-trans isomerase FKBP8-like	54	1
peptidyl-prolyl cis-trans isomerase H-like	-50	1
peptidyl-prolyl cis-trans isomerase-like 2	-52	1
period circadian protein-like	-64	6
peripheral plasma membrane protein CASK-like	-53	11
peroxisomal membrane protein 11C-like	52	1
phosphatidylinositol 3-kinase catalytic subunit type 3-like	57	1
phosphatidylinositol 4-kinase alpha-like	-60	1
phosphatidylinositol 4-kinase alpha-like	-60	1
phosphatidylinositol 4-kinase alpha-like	-59	1
phosphatidylinositol 4-kinase alpha-like	-57	1
phosphatidylinositol 4-kinase alpha-like	-52	1
phosphatidylinositol 4-kinase alpha-like	-50	1
phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like	-56	15
phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like	-56	
phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like	50	15
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like	-54	2
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like	-54	
phosphoribosylformylglycinamidine synthase-like	-59	1
phosphoribosylformylglycinamidine synthase-like	-50	1
phosphoribosylformylglycinamidine synthase-like	55	1
phosphorylase b kinase regulatory subunit alpha 2C liver isoform-like	53	13
phytochrome-interacting ankyrin-repeat protein 1-like	-60	3
piezo-type mechanosensitive ion channel component 1-like	60	14
piezo-type mechanosensitive ion channel component 1-like	63	14
plasma membrane calcium-transporting ATPase 2-like	-58	14
plasma membrane calcium-transporting ATPase 2-like	-54	24
plasma membrane calcium-transporting ATPase 2-like	-51	24
pleckstrin homology domain-containing family H member 1-like	-57	7
poly [ADP-ribose] polymerase 8-like	-51	1
