ID	Gene Name	Species
O75439	peptidase, mitochondrial processing beta subunit(PMPCB)	Homo sapiens	
P08478	peptidylglycine alpha-amidating monooxygenase L homeolog(pam.L)	Xenopus laevis	
P14925	peptidylglycine alpha-amidating monooxygenase(Pam)	Rattus norvegicus	
Q9D787	peptidylprolyl isomerase (cyclophilin)-like 2(Ppil2)	Mus musculus	
Q969N2	phosphatidylinositol glycan anchor biosynthesis class T(PIGT)	Homo sapiens	
Q803C9	phosphatidylserine synthase 1a(ptdss1a)	Danio rerio	
Q9JMB7	piwi-like RNA-mediated gene silencing 1(Piwil1)	Mus musculus	
Q460N5	poly(ADP-ribose) polymerase family member 14(PARP14)	Homo sapiens	
Q9UKK3	poly(ADP-ribose) polymerase family member 4(PARP4)	Homo sapiens	
A2A559	post-GPI attachment to proteins 3(Pgap3)	Mus musculus	
Q5ZJ85	pre-mRNA processing factor 3(PRPF3)	Gallus gallus	
O75400	pre-mRNA processing factor 40 homolog A(PRPF40A)	Homo sapiens	
Q32L99	prostaglandin reductase 2(PTGR2)	Bos taurus	
P57096	prostate stem cell antigen(Psca)	Mus musculus	
Q4N4N8	protein disulfide isomerase(TP02_0602)	Theileria parva strain Muguga	
Q91WG5	protein kinase, AMP-activated, gamma 2 non-catalytic subunit(Prkag2)	Mus musculus	
Q92932	protein tyrosine phosphatase, receptor type N2(PTPRN2)	Homo sapiens	
Q99571	purinergic receptor P2X 4(P2RX4)	Homo sapiens	
E1C2U2	replication timing regulatory factor 1(RIF1)	Gallus gallus	
P02362	ribosomal protein S8(rps7)	Xenopus laevis	
Q61909	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)(Runx1t1)	Mus musculus	
Q3T106	serine and arginine rich splicing factor 7(SRSF7)	Bos taurus	
Q6DRC0	seryl-tRNA synthetase(sars)	Danio rerio	
A8DZE7	short chain dehydrogenase/reductase family 42E, member 1(sdr42e1)	Danio rerio	
Q5ZJ75	solute carrier family 9 member A8(SLC9A8)	Gallus gallus	
Q08BC4	sperm-tail PG-rich repeat containing 2(stpg2)	Danio rerio	
Q8CHC4	synaptojanin 1(Synj1)	Mus musculus	
Q3T0C9	synaptojanin 2 binding protein(SYNJ2BP)	Bos taurus	
Q5EAR5	tRNA phosphotransferase 1(trpt1)	Danio rerio	
P37837	transaldolase 1(TALDO1)	Homo sapiens	
D2GXS7	tripartite motif containing 2(TRIM2)	Ailuropoda melanoleuca	
F7H9X2	tripartite motif containing 2(TRIM2)	Callithrix jacchus	
Q9BTW9	tubulin folding cofactor D(TBCD)	Homo sapiens	
Q62769	unc-13 homolog B(Unc13b)	Rattus norvegicus	
Q9UJU3	zinc finger protein 112(ZNF112)	Homo sapiens	
