ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q6V0I7	FAT atypical cadherin 4(FAT4)	Homo sapiens			GO:0001658~branching involved in ureteric bud morphogenesis,GO:0003007~heart morphogenesis,GO:0007009~plasma membrane organization,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007219~Notch signaling pathway,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0021987~cerebral cortex development,GO:0022008~neurogenesis,GO:0035329~hippo signaling,GO:0043931~ossification involved in bone maturation,GO:0048565~digestive tract development,GO:0060122~inner ear receptor stereocilium organization,GO:0072137~condensed mesenchymal cell proliferation,GO:0072307~regulation of metanephric nephron tubule epithelial cell differentiation,	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0045177~apical part of cell,GO:0070062~extracellular exosome,	GO:0005509~calcium ion binding,GO:0005515~protein binding,	IPR000152:EGF-type aspartate/asparagine hydroxylation site,IPR000742:Epidermal growth factor-like domain,IPR001791:Laminin G domain,IPR001881:EGF-like calcium-binding,IPR002126:Cadherin,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR013032:EGF-like, conserved site,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR015919:Cadherin-like,IPR018097:EGF-like calcium-binding, conserved site,IPR020894:Cadherin conserved site,		615546~Van Maldergem syndrome 2,616006~Hennekam lymphangiectasia-lymphedema syndrome 2,		SM00112:CA,SM00179:EGF_CA,SM00181:EGF,SM00282:LamG,	Alternative splicing,Calcium,Cell adhesion,Complete proteome,Deafness,Disease mutation,Disulfide bond,EGF-like domain,Glycoprotein,Membrane,Mental retardation,Phosphoprotein,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Protocadherin Fat 4,disulfide bond,domain:Cadherin 1,domain:Cadherin 10,domain:Cadherin 11,domain:Cadherin 12,domain:Cadherin 13,domain:Cadherin 14,domain:Cadherin 15,domain:Cadherin 16,domain:Cadherin 17,domain:Cadherin 18,domain:Cadherin 19,domain:Cadherin 2,domain:Cadherin 20,domain:Cadherin 21,domain:Cadherin 22,domain:Cadherin 23,domain:Cadherin 24,domain:Cadherin 25,domain:Cadherin 26,domain:Cadherin 27,domain:Cadherin 28,domain:Cadherin 29,domain:Cadherin 3,domain:Cadherin 30,domain:Cadherin 31,domain:Cadherin 32,domain:Cadherin 33,domain:Cadherin 34,domain:Cadherin 4,domain:Cadherin 5,domain:Cadherin 6,domain:Cadherin 7,domain:Cadherin 8,domain:Cadherin 9,domain:EGF-like 1,domain:EGF-like 2; calcium-binding,domain:EGF-like 3; calcium-binding,domain:EGF-like 4,domain:EGF-like 5,domain:EGF-like 6,domain:Laminin G-like 1,domain:Laminin G-like 2,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q5SZK8	FRAS1 related extracellular matrix protein 2(FREM2)	Homo sapiens			GO:0002009~morphogenesis of an epithelium,GO:0007154~cell communication,GO:0007155~cell adhesion,GO:0007507~heart development,GO:0048839~inner ear development,	GO:0005604~basement membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0046872~metal ion binding,	IPR003644:Na-Ca exchanger/integrin-beta4,		219000~Fraser syndrome,		SM00237:Calx_beta,	Alternative splicing,Calcium,Cell adhesion,Cell membrane,Complete proteome,Developmental protein,Disease mutation,Glycoprotein,Membrane,Metal-binding,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:FRAS1-related extracellular matrix protein 2,domain:Calx-beta 1,domain:Calx-beta 2,domain:Calx-beta 3,domain:Calx-beta 4,domain:Calx-beta 5,glycosylation site:N-linked (GlcNAc...),repeat:CSPG 1,repeat:CSPG 10,repeat:CSPG 11,repeat:CSPG 12,repeat:CSPG 2,repeat:CSPG 3,repeat:CSPG 4,repeat:CSPG 5,repeat:CSPG 6,repeat:CSPG 7,repeat:CSPG 8,repeat:CSPG 9,sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
A2A870	Fas (TNFRSF6) binding factor 1(Fbf1)	Mus musculus			GO:0030030~cell projection organization,GO:0042384~cilium assembly,GO:0043297~apical junction assembly,GO:0060271~cilium morphogenesis,GO:0090162~establishment of epithelial cell polarity,	GO:0000922~spindle pole,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005814~centriole,GO:0005856~cytoskeleton,GO:0030054~cell junction,GO:0043296~apical junction complex,GO:0045095~keratin filament,GO:0097539~ciliary transition fiber,	GO:0005515~protein binding,						Alternative splicing,Cell junction,Cilium biogenesis/degradation,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Phosphoprotein,Reference proteome,	chain:Fas-binding factor 1,modified residue,sequence conflict,splice variant,
Q9Y6R7	Fc fragment of IgG binding protein(FCGBP)	Homo sapiens				GO:0070062~extracellular exosome,	GO:0005515~protein binding,	IPR000742:Epidermal growth factor-like domain,IPR001007:von Willebrand factor, type C,IPR001846:von Willebrand factor, type D domain,IPR002919:Trypsin Inhibitor-like, cysteine rich domain,IPR003645:Follistatin-like, N-terminal,IPR014853:Uncharacterised domain, cysteine-rich,IPR025615:TILa domain,				SM00181:EGF,SM00214:VWC,SM00215:VWC_out,SM00216:VWD,SM00274:FOLN,SM00832:SM00832,	Complete proteome,Disulfide bond,Glycoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:IgGFc-binding protein,compositionally biased region:Cys-rich,disulfide bond,domain:TIL 1,domain:TIL 10,domain:TIL 11,domain:TIL 12,domain:TIL 2,domain:TIL 3,domain:TIL 4,domain:TIL 5,domain:TIL 6,domain:TIL 7,domain:TIL 8,domain:TIL 9,domain:VWFD 1,domain:VWFD 10,domain:VWFD 11,domain:VWFD 12,domain:VWFD 13,domain:VWFD 2,domain:VWFD 3,domain:VWFD 4,domain:VWFD 5,domain:VWFD 6,domain:VWFD 7,domain:VWFD 8,domain:VWFD 9,glycosylation site:N-linked (GlcNAc...),region of interest:IgGFc-binding,sequence conflict,sequence variant,signal peptide,
P20693	Fc receptor, IgE, low affinity II, alpha polypeptide(Fcer2a)	Mus musculus			GO:0002925~positive regulation of humoral immune response mediated by circulating immunoglobulin,GO:0051000~positive regulation of nitric-oxide synthase activity,GO:0051712~positive regulation of killing of cells of other organism,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,	GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0019863~IgE binding,GO:0030246~carbohydrate binding,GO:0046872~metal ion binding,	IPR001304:C-type lectin,IPR016186:C-type lectin-like,IPR016187:C-type lectin fold,IPR018378:C-type lectin, conserved site,	mmu04640:Hematopoietic cell lineage,mmu05169:Epstein-Barr virus infection,			SM00034:CLECT,	3D-structure,Alternative splicing,Calcium,Cell membrane,Coiled coil,Complete proteome,Disulfide bond,Glycoprotein,IgE-binding protein,Lectin,Lipoprotein,Membrane,Metal-binding,Palmitate,Receptor,Reference proteome,Repeat,Signal,Signal-anchor,Transmembrane,Transmembrane helix,	chain:Low affinity immunoglobulin epsilon Fc receptor,disulfide bond,domain:C-type lectin,glycosylation site:N-linked (GlcNAc...),helix,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q8IYU2	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1(HACE1)	Homo sapiens			GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007030~Golgi organization,GO:0007049~cell cycle,GO:0016567~protein ubiquitination,GO:0016601~Rac protein signal transduction,GO:0030334~regulation of cell migration,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:0061025~membrane fusion,GO:0070936~protein K48-linked ubiquitination,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0032580~Golgi cisterna membrane,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0016874~ligase activity,GO:0017137~Rab GTPase binding,GO:0048365~Rac GTPase binding,	IPR000569:HECT,IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00119:HECTc,SM00248:ANK,	Alternative splicing,ANK repeat,Cell cycle,Chromosomal rearrangement,Complete proteome,Cytoplasm,Disease mutation,Endoplasmic reticulum,Golgi apparatus,Hereditary spastic paraplegia,Membrane,Neurodegeneration,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Transferase,Ubl conjugation pathway,	active site:Glycyl thioester intermediate,chain:E3 ubiquitin-protein ligase HACE1,domain:HECT,mutagenesis site,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,sequence variant,splice variant,
Q7Z6Z7	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)	Homo sapiens			GO:0000209~protein polyubiquitination,GO:0006284~base-excision repair,GO:0006513~protein monoubiquitination,GO:0016574~histone ubiquitination,GO:0030154~cell differentiation,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:1903955~positive regulation of protein targeting to mitochondrion,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0003677~DNA binding,GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0016874~ligase activity,GO:0044822~poly(A) RNA binding,	IPR000569:HECT,IPR004170:WWE domain,IPR009060:UBA-like,IPR010309:E3 ubiquitin ligase, domain of unknown function DUF908,IPR010314:E3 ubiquitin ligase, domain of unknown function DUF913,IPR015940:Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote,IPR016024:Armadillo-type fold,IPR025527:Domain of unknown function DUF4414,	hsa04120:Ubiquitin mediated proteolysis,	300706~Mental retardation, X-linked syndromic, Turner type,		SM00119:HECTc,SM00165:UBA,	3D-structure,Acetylation,Alternative splicing,Chromosomal rearrangement,Coiled coil,Complete proteome,Cytoplasm,Differentiation,Disease mutation,DNA damage,DNA repair,DNA-binding,Membrane,Mental retardation,Methylation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transferase,Transmembrane,Transmembrane helix,Ubl conjugation pathway,	active site:Glycyl thioester intermediate,chain:E3 ubiquitin-protein ligase HUWE1,compositionally biased region:Asp-rich,compositionally biased region:Glu-rich,compositionally biased region:Thr-rich,domain:HECT,domain:UBA,domain:WWE,helix,modified residue,mutagenesis site,repeat:UIM,sequence conflict,sequence variant,splice variant,strand,turn,
Q7ZXZ0	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)(mcm3)	Xenopus laevis			GO:0006270~DNA replication initiation,GO:0007049~cell cycle,GO:0030174~regulation of DNA-dependent DNA replication initiation,	GO:0005634~nucleus,GO:0042555~MCM complex,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0005524~ATP binding,	IPR001208:Mini-chromosome maintenance, DNA-dependent ATPase,IPR003593:AAA+ ATPase domain,IPR008046:DNA replication licensing factor Mcm3,IPR012340:Nucleic acid-binding, OB-fold,IPR018525:Mini-chromosome maintenance, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	xla03030:DNA replication,xla04110:Cell cycle,			SM00350:MCM,SM00382:AAA,	ATP-binding,Cell cycle,DNA replication,DNA-binding,Helicase,Hydrolase,Nucleotide-binding,Nucleus,	chain:Zygotic DNA replication licensing factor mcm3,domain:MCM,nucleotide phosphate-binding region:ATP,
Q9Y5N5	N-6 adenine-specific DNA methyltransferase 1 (putative)(N6AMT1)	Homo sapiens			GO:0006415~translational termination,GO:0006479~protein methylation,GO:0030307~positive regulation of cell growth,GO:0032259~methylation,	GO:0005829~cytosol,GO:0043234~protein complex,	GO:0003676~nucleic acid binding,GO:0005515~protein binding,GO:0008276~protein methyltransferase activity,	IPR002052:DNA methylase, N-6 adenine-specific, conserved site,IPR004557:Eukaryotic/archaeal PrmC-related,IPR007848:Methyltransferase small domain,					Alternative splicing,Complete proteome,Methyltransferase,Polymorphism,Proteomics identification,Reference proteome,S-adenosyl-L-methionine,Transferase,	chain:N(6)-adenine-specific DNA methyltransferase 1,sequence variant,
Q96AB6	N-terminal asparagine amidase(NTAN1)	Homo sapiens			GO:0007613~memory,GO:0008344~adult locomotory behavior,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0008418~protein-N-terminal asparagine amidohydrolase activity,	IPR026750:Protein N-terminal asparagine amidohydrolase,					Complete proteome,Cytoplasm,Hydrolase,Polymorphism,Proteomics identification,Reference proteome,	chain:Protein N-terminal asparagine amidohydrolase,sequence variant,
Q5ZI67	NHL repeat containing 2(NHLRC2)	Gallus gallus			GO:0045454~cell redox homeostasis,	GO:0005623~cell,		IPR001258:NHL repeat,IPR011042:Six-bladed beta-propeller, TolB-like,IPR012336:Thioredoxin-like fold,IPR013017:NHL repeat, subgroup,IPR013766:Thioredoxin domain,					Complete proteome,Reference proteome,Repeat,	chain:NHL repeat-containing protein 2,domain:Thioredoxin,repeat:NHL 1,repeat:NHL 2,repeat:NHL 3,repeat:NHL 4,repeat:NHL 5,repeat:NHL 6,
