ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q9DG67	RAD54 homolog B (S. cerevisiae)(RAD54B)	Gallus gallus			GO:0000724~double-strand break repair via homologous recombination,GO:0006281~DNA repair,GO:0008340~determination of adult lifespan,GO:0010212~response to ionizing radiation,GO:0042493~response to drug,	GO:0005634~nucleus,	GO:0003677~DNA binding,GO:0004386~helicase activity,GO:0005524~ATP binding,	IPR000330:SNF2-related,IPR001650:Helicase, C-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	gga03440:Homologous recombination,			SM00487:DEXDc,SM00490:HELICc,	ATP-binding,Complete proteome,DNA damage,DNA repair,DNA-binding,Helicase,Hydrolase,Nucleotide-binding,Nucleus,Reference proteome,	chain:DNA repair and recombination protein RAD54B,domain:Helicase ATP-binding,domain:Helicase C-terminal,nucleotide phosphate-binding region:ATP,short sequence motif:DEGH box,
Q9Y620	RAD54 homolog B (S. cerevisiae)(RAD54B)	Homo sapiens			GO:0000724~double-strand break repair via homologous recombination,GO:0006312~mitotic recombination,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007131~reciprocal meiotic recombination,GO:0032508~DNA duplex unwinding,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0003724~RNA helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0015616~DNA translocase activity,	IPR000330:SNF2-related,IPR001650:Helicase, C-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa03440:Homologous recombination,	114500~Colon cancer, somatic,605027~Lymphoma, non-Hodgkin, somatic,		SM00487:DEXDc,SM00490:HELICc,	Alternative splicing,ATP-binding,Complete proteome,DNA damage,DNA repair,DNA-binding,Helicase,Hydrolase,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repressor,Transcription,Transcription regulation,	chain:DNA repair and recombination protein RAD54B,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,sequence variant,short sequence motif:DEGH box,
Q8CGC6	RNA binding motif protein 28(Rbm28)	Mus musculus			GO:0006397~mRNA processing,GO:0008380~RNA splicing,	GO:0005634~nucleus,GO:0005681~spliceosomal complex,GO:0005730~nucleolus,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	mmu03008:Ribosome biogenesis in eukaryotes,			SM00360:RRM,	3D-structure,Acetylation,Complete proteome,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,RNA-binding,Spliceosome,	chain:RNA-binding protein 28,compositionally biased region:Asp/Glu-rich (acidic),domain:RRM 1,domain:RRM 2,domain:RRM 3,domain:RRM 4,helix,modified residue,sequence conflict,strand,turn,
Q86X10	Ral GTPase activating protein non-catalytic beta subunit(RALGAPB)	Homo sapiens			GO:0051056~regulation of small GTPase mediated signal transduction,GO:0090630~activation of GTPase activity,		GO:0005096~GTPase activator activity,GO:0046982~protein heterodimerization activity,	IPR000331:Rap GTPase activating proteins domain,					Alternative splicing,Complete proteome,GTPase activation,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Ral GTPase-activating protein beta subunit,domain:Rap-GAP,modified residue,sequence conflict,splice variant,
Q03956	Rav2p(RAV2)	Saccharomyces cerevisiae S288C			GO:0006810~transport,GO:0007035~vacuolar acidification,GO:0015031~protein transport,GO:0043254~regulation of protein complex assembly,	GO:0005737~cytoplasm,GO:0005768~endosome,GO:0016020~membrane,GO:0031901~early endosome membrane,GO:0043291~RAVE complex,							Complete proteome,Cytoplasm,Endosome,Membrane,Protein transport,Reference proteome,Transport,	chain:Regulator of V-ATPase in vacuolar membrane protein 2,
P26270	Regulatory particle non-ATPase 8(Rpn8)	Drosophila melanogaster			GO:0022008~neurogenesis,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,	GO:0000502~proteasome complex,GO:0005838~proteasome regulatory particle,GO:0008541~proteasome regulatory particle, lid subcomplex,GO:0030425~dendrite,		IPR000555:JAB1/Mov34/MPN/PAD-1,IPR024969:Rpn11/EIF3F C-terminal domain,	dme03050:Proteasome,			SM00232:JAB_MPN,	Complete proteome,Direct protein sequencing,Proteasome,Reference proteome,	chain:26S proteasome non-ATPase regulatory subunit 7,compositionally biased region:Glu/Lys-rich,domain:MPN,sequence conflict,
Q8K190	SAYSVFN motif domain containing 1(Saysd1)	Mus musculus				GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030659~cytoplasmic vesicle membrane,GO:0031410~cytoplasmic vesicle,GO:0043231~intracellular membrane-bounded organelle,		IPR019387:Uncharacterised domain SAYSvFN,					Complete proteome,Cytoplasmic vesicle,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	chain:Uncharacterized protein C6orf64 homolog,transmembrane region,
P82094	TATA element modulatory factor 1(TMF1)	Homo sapiens			GO:0001675~acrosome assembly,GO:0001819~positive regulation of cytokine production,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007289~spermatid nucleus differentiation,GO:0010629~negative regulation of gene expression,GO:0030317~sperm motility,GO:0032275~luteinizing hormone secretion,GO:0033327~Leydig cell differentiation,GO:0042742~defense response to bacterium,GO:0043066~negative regulation of apoptotic process,GO:0061136~regulation of proteasomal protein catabolic process,GO:0071407~cellular response to organic cyclic compound,GO:2000845~positive regulation of testosterone secretion,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005829~cytosol,	GO:0003677~DNA binding,GO:0003712~transcription cofactor activity,GO:0005515~protein binding,	IPR022091:TATA element modulatory factor 1 TATA binding,IPR022092:TATA element modulatory factor 1 DNA binding,					Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,DNA-binding,Golgi apparatus,Membrane,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repressor,Transcription,Transcription regulation,	chain:TATA element modulatory factor,modified residue,mutagenesis site,region of interest:Interaction with Elongin BC complex,sequence variant,splice variant,
P20072	annexin A7(ANXA7)	Bos taurus			GO:0006874~cellular calcium ion homeostasis,GO:0006914~autophagy,GO:0007599~hemostasis,GO:0008283~cell proliferation,GO:0008360~regulation of cell shape,GO:0009651~response to salt stress,GO:0009992~cellular water homeostasis,GO:0010629~negative regulation of gene expression,GO:0030855~epithelial cell differentiation,GO:0035176~social behavior,	GO:0005635~nuclear envelope,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0042584~chromaffin granule membrane,GO:0070062~extracellular exosome,	GO:0005178~integrin binding,GO:0005509~calcium ion binding,GO:0005544~calcium-dependent phospholipid binding,GO:0042802~identical protein binding,GO:0044822~poly(A) RNA binding,GO:0048306~calcium-dependent protein binding,	IPR001464:Annexin,IPR013286:Annexin, type VII,IPR018252:Annexin repeat, conserved site,IPR018502:Annexin repeat,				SM00335:ANX,	Acetylation,Annexin,Calcium,Calcium/phospholipid-binding,Complete proteome,Direct protein sequencing,Reference proteome,Repeat,	chain:Annexin A7,modified residue,region of interest:3 X 5 AA tandem repeats of G-Y-P-P-X,region of interest:Repeat-rich region,repeat:1,repeat:2,repeat:3,repeat:Annexin 1,repeat:Annexin 2,repeat:Annexin 3,repeat:Annexin 4,
Q5ZJK8	chaperonin containing TCP1 subunit 7(CCT7)	Gallus gallus			GO:0006457~protein folding,GO:0007339~binding of sperm to zona pellucida,GO:0032212~positive regulation of telomere maintenance via telomerase,GO:0050821~protein stabilization,GO:1901998~toxin transport,GO:1904851~positive regulation of establishment of protein localization to telomere,GO:1904871~positive regulation of protein localization to Cajal body,GO:1904874~positive regulation of telomerase RNA localization to Cajal body,	GO:0002199~zona pellucida receptor complex,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005832~chaperonin-containing T-complex,GO:0005874~microtubule,GO:0044297~cell body,GO:0070062~extracellular exosome,	GO:0005524~ATP binding,GO:0051082~unfolded protein binding,	IPR002194:Chaperonin TCP-1, conserved site,IPR002423:Chaperonin Cpn60/TCP-1,IPR012720:T-complex protein 1, eta subunit,IPR017998:Chaperone tailless complex polypeptide 1 (TCP-1),IPR027409:GroEL-like apical domain,IPR027410:TCP-1-like chaperonin intermediate domain,IPR027413:GroEL-like equatorial domain,					ATP-binding,Chaperone,Complete proteome,Cytoplasm,Nucleotide-binding,Reference proteome,	chain:T-complex protein 1 subunit eta,
Q14028	cyclic nucleotide gated channel beta 1(CNGB1)	Homo sapiens			GO:0001895~retina homeostasis,GO:0006810~transport,GO:0006812~cation transport,GO:0007601~visual perception,GO:0007608~sensory perception of smell,GO:0016056~rhodopsin mediated signaling pathway,GO:0022400~regulation of rhodopsin mediated signaling pathway,GO:0033365~protein localization to organelle,GO:0035845~photoreceptor cell outer segment organization,GO:0042391~regulation of membrane potential,GO:0045494~photoreceptor cell maintenance,GO:0050908~detection of light stimulus involved in visual perception,GO:0051290~protein heterotetramerization,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0071805~potassium ion transmembrane transport,	GO:0000139~Golgi membrane,GO:0001750~photoreceptor outer segment,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0017071~intracellular cyclic nucleotide activated cation channel complex,GO:0030660~Golgi-associated vesicle membrane,GO:0043195~terminal bouton,GO:0060170~ciliary membrane,GO:1902495~transmembrane transporter complex,	GO:0005221~intracellular cyclic nucleotide activated cation channel activity,GO:0005222~intracellular cAMP activated cation channel activity,GO:0005223~intracellular cGMP activated cation channel activity,GO:0005249~voltage-gated potassium channel activity,GO:0005515~protein binding,GO:0015276~ligand-gated ion channel activity,GO:0030552~cAMP binding,GO:0030553~cGMP binding,	IPR000595:Cyclic nucleotide-binding domain,IPR014710:RmlC-like jelly roll fold,IPR018488:Cyclic nucleotide-binding, conserved site,IPR018490:Cyclic nucleotide-binding-like,	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04740:Olfactory transduction,hsa04744:Phototransduction,	613767~Retinitis pigmentosa 45,		SM00100:cNMP,	Alternative splicing,cAMP,cAMP-binding,Complete proteome,Disease mutation,Ion channel,Ion transport,Ligand-gated ion channel,Membrane,Nucleotide-binding,Olfaction,Polymorphism,Proteomics identification,Reference proteome,Retinitis pigmentosa,Sensory transduction,Transmembrane,Transmembrane helix,Transport,Vision,	binding site:cAMP,chain:Cyclic nucleotide-gated cation channel beta-1,compositionally biased region:Glu-rich,compositionally biased region:Poly-Glu,compositionally biased region:Pro-rich,mutagenesis site,nucleotide phosphate-binding region:cAMP,sequence conflict,sequence variant,short sequence motif:IQ-like,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
B2RZ50	cyclin-dependent kinase inhibitor 3(Cdkn3)	Rattus norvegicus			GO:0000082~G1/S transition of mitotic cell cycle,GO:0007050~cell cycle arrest,GO:0035335~peptidyl-tyrosine dephosphorylation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0048471~perinuclear region of cytoplasm,	GO:0004722~protein serine/threonine phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,	IPR000387:Protein-tyrosine/Dual specificity phosphatase,IPR003595:Protein-tyrosine phosphatase, catalytic,IPR008425:Cyclin-dependent kinase inhibitor 3,IPR022778:CDKN3 domain,			PIRSF037322:cyclin-dependent kinase inhibitor 3,	SM00404:PTPc_motif,	Cell cycle,Complete proteome,Cytoplasm,Hydrolase,Protein phosphatase,Reference proteome,
P78329	cytochrome P450 family 4 subfamily F member 2(CYP4F2)	Homo sapiens		Secondary metabolites biosynthesis, transport, and catabolism,	GO:0000038~very long-chain fatty acid metabolic process,GO:0001676~long-chain fatty acid metabolic process,GO:0003091~renal water homeostasis,GO:0003095~pressure natriuresis,GO:0006690~icosanoid metabolic process,GO:0006691~leukotriene metabolic process,GO:0007596~blood coagulation,GO:0008217~regulation of blood pressure,GO:0017144~drug metabolic process,GO:0019369~arachidonic acid metabolic process,GO:0019373~epoxygenase P450 pathway,GO:0032304~negative regulation of icosanoid secretion,GO:0032305~positive regulation of icosanoid secretion,GO:0036101~leukotriene B4 catabolic process,GO:0042360~vitamin E metabolic process,GO:0042361~menaquinone catabolic process,GO:0042376~phylloquinone catabolic process,GO:0042377~vitamin K catabolic process,GO:0055078~sodium ion homeostasis,GO:0055114~oxidation-reduction process,GO:0097267~omega-hydroxylase P450 pathway,	GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031090~organelle membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0008392~arachidonic acid epoxygenase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0016709~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen,GO:0018685~alkane 1-monooxygenase activity,GO:0020037~heme binding,GO:0050051~leukotriene-B4 20-monooxygenase activity,GO:0052869~arachidonic acid omega-hydroxylase activity,GO:0052871~alpha-tocopherol omega-hydroxylase activity,GO:0052872~tocotrienol omega-hydroxylase activity,GO:0097258~20-hydroxy-leukotriene B4 omega oxidase activity,GO:0097259~20-aldehyde-leukotriene B4 20-monooxygenase activity,	IPR001128:Cytochrome P450,IPR002401:Cytochrome P450, E-class, group I,IPR017972:Cytochrome P450, conserved site,	hsa00590:Arachidonic acid metabolism,hsa01100:Metabolic pathways,				Alternative splicing,Complete proteome,Direct protein sequencing,Endoplasmic reticulum,Heme,Iron,Membrane,Metal-binding,Microsome,Monooxygenase,NADP,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,	binding site:Heme (covalent; via 1 link),chain:Leukotriene-B(4) omega-hydroxylase 1,metal ion-binding site:Iron (heme axial ligand),sequence conflict,sequence variant,
